county_fips,county_name,population_2020
48001,Anderson,57922
48003,Andrews,18610
48005,Angelina,86395
48007,Aransas,23830
48009,Archer,8560
48011,Armstrong,1848
48013,Atascosa,48981
48015,Austin,30167
48017,Bailey,6904
48019,Bandera,20851
48021,Bastrop,97216
48023,Baylor,3465
48025,Bee,31047
48027,Bell,370647
48029,Bexar,2009324
48031,Blanco,11374
48033,Borden,631
48035,Bosque,18235
48037,Bowie,92893
48039,Brazoria,372031
48041,Brazos,233849
48043,Brewster,9546
48045,Briscoe,1435
48047,Brooks,7076
48049,Brown,38095
48051,Burleson,17642
48053,Burnet,49130
48055,Caldwell,45883
48057,Calhoun,20106
48059,Callahan,13708
48061,Cameron,421017
48063,Camp,12464
48065,Carson,5807
48067,Cass,28454
48069,Castro,7371
48071,Chambers,46571
48073,Cherokee,50412
48075,Childress,6664
48077,Clay,10218
48079,Cochran,2547
48081,Coke,3285
48083,Coleman,7684
48085,Collin,1064465
48087,Collingsworth,2652
48089,Colorado,20557
48091,Comal,161501
48093,Comanche,13594
48095,Concho,3303
48097,Cooke,41668
48099,Coryell,83093
48101,Cottle,1380
48103,Crane,4675
48105,Crockett,3098
48107,Crosby,5133
48109,Culberson,2188
48111,Dallam,7115
48113,Dallas,2613539
48115,Dawson,12456
48123,DeWitt,19824
48117,Deaf Smith,18583
48119,Delta,5230
48121,Denton,906422
48125,Dickens,1770
48127,Dimmit,8615
48129,Donley,3258
48131,Duval,9831
48133,Eastland,17725
48135,Ector,165171
48137,Edwards,1422
48141,El Paso,865657
48139,Ellis,192455
48143,Erath,42545
48145,Falls,16968
48147,Fannin,35662
48149,Fayette,24435
48151,Fisher,3672
48153,Floyd,5402
48155,Foard,1095
48157,Fort Bend,822779
48159,Franklin,10359
48161,Freestone,19435
48163,Frio,18385
48165,Gaines,21598
48167,Galveston,350682
48169,Garza,5816
48171,Gillespie,26725
48173,Glasscock,1116
48175,Goliad,7012
48177,Gonzales,19653
48179,Gray,21227
48181,Grayson,135543
48183,Gregg,124239
48185,Grimes,29268
48187,Guadalupe,172706
48189,Hale,32522
48191,Hall,2825
48193,Hamilton,8222
48195,Hansford,5285
48197,Hardeman,3549
48199,Hardin,56231
48201,Harris,4731145
48203,Harrison,68839
48205,Hartley,5382
48207,Haskell,5416
48209,Hays,241067
48211,Hemphill,3382
48213,Henderson,82150
48215,Hidalgo,870781
48217,Hill,35874
48219,Hockley,21537
48221,Hood,61598
48223,Hopkins,36787
48225,Houston,22066
48227,Howard,34860
48229,Hudspeth,3202
48231,Hunt,99956
48233,Hutchinson,20617
48235,Irion,1513
48237,Jack,8472
48239,Jackson,14988
48241,Jasper,32980
48243,Jeff Davis,1996
48245,Jefferson,256526
48247,Jim Hogg,4838
48249,Jim Wells,38891
48251,Johnson,179927
48253,Jones,19663
48255,Karnes,14710
48257,Kaufman,145310
48259,Kendall,44279
48261,Kenedy,350
48263,Kent,753
48265,Kerr,52598
48267,Kimble,4286
48269,King,265
48271,Kinney,3129
48273,Kleberg,31040
48275,Knox,3353
48283,La Salle,6664
48277,Lamar,50088
48279,Lamb,13045
48281,Lampasas,21627
48285,Lavaca,20337
48287,Lee,17478
48289,Leon,15719
48291,Liberty,91628
48293,Limestone,22146
48295,Lipscomb,3059
48297,Live Oak,11335
48299,Llano,21243
48301,Loving,64
48303,Lubbock,310639
48305,Lynn,5596
48313,Madison,13455
48315,Marion,9725
48317,Martin,5237
48319,Mason,3953
48321,Matagorda,36255
48323,Maverick,57887
48307,McCulloch,7630
48309,McLennan,260579
48311,McMullen,600
48325,Medina,50748
48327,Menard,1962
48329,Midland,169983
48331,Milam,24754
48333,Mills,4456
48335,Mitchell,8990
48337,Montague,19965
48339,Montgomery,620443
48341,Moore,21358
48343,Morris,11973
48345,Motley,1063
48347,Nacogdoches,64653
48349,Navarro,52624
48351,Newton,12217
48353,Nolan,14738
48355,Nueces,353178
48357,Ochiltree,10015
48359,Oldham,1758
48361,Orange,84808
48363,Palo Pinto,28409
48365,Panola,22491
48367,Parker,148222
48369,Parmer,9869
48371,Pecos,15193
48373,Polk,50123
48375,Potter,118525
48377,Presidio,6131
48379,Rains,12164
48381,Randall,140753
48383,Reagan,3385
48385,Real,2758
48387,Red River,11587
48389,Reeves,14748
48391,Refugio,6741
48393,Roberts,827
48395,Robertson,16757
48397,Rockwall,107819
48399,Runnels,9900
48401,Rusk,52214
48403,Sabine,9894
48405,San Augustine,7918
48407,San Jacinto,27402
48409,San Patricio,68755
48411,San Saba,5730
48413,Schleicher,2451
48415,Scurry,16932
48417,Shackelford,3105
48419,Shelby,24022
48421,Sherman,2782
48423,Smith,233479
48425,Somervell,9205
48427,Starr,65920
48429,Stephens,9101
48431,Sterling,1372
48433,Stonewall,1245
48435,Sutton,3372
48437,Swisher,6971
48439,Tarrant,2110640
48441,Taylor,143208
48443,Terrell,760
48445,Terry,11831
48447,Throckmorton,1440
48449,Titus,31247
48451,Tom Green,120003
48453,Travis,1290188
48455,Trinity,13602
48457,Tyler,19798
48459,Upshur,40892
48461,Upton,3308
48463,Uvalde,24564
48465,Val Verde,47586
48467,Van Zandt,59541
48469,Victoria,91319
48471,Walker,76400
48473,Waller,56794
48475,Ward,11644
48477,Washington,35805
48479,Webb,267114
48481,Wharton,41570
48483,Wheeler,4990
48485,Wichita,129350
48487,Wilbarger,12887
48489,Willacy,20164
48491,Williamson,609017
48493,Wilson,49753
48495,Winkler,7791
48497,Wise,68632
48499,Wood,44843
48501,Yoakum,7694
48503,Young,17867
48505,Zapata,13889
48507,Zavala,9670
